input_text,target_text,style,original
convert to emojify: They argued over who ate the last slice of pizza.,They argued over who ate the last slice of pizza. 🍕🙂,emojify,They argued over who ate the last slice of pizza.
convert to social: The company is launching a new professional coaching program that includes one-on-one executive coaching and leadership development,The company is launching a new professional coaching program that includes one-on-one executive coaching and leadership development! 💼👨‍🏫🌟 #ProfessionalCoaching #LeadershipDevelopment,social,The company is launching a new professional coaching program that includes one-on-one executive coaching and leadership development
convert to casual: You need to update your password.,You gotta update your password.,casual,You need to update your password.
convert to emojify: He’s taking a break from social media.,He’s taking a break from social media. 💻😌,emojify,He’s taking a break from social media.
convert to emojify: He’s cleaning out his old closet this weekend.,He’s cleaning out his old closet this weekend. 🧹🙂,emojify,He’s cleaning out his old closet this weekend.
convert to social: I'll take care of it right away.,I'll take care of it right away. ⚡ #OnIt #RightAway,social,I'll take care of it right away.
convert to social: I think we should establish clear communication protocols for after-hours emergencies to ensure timely response and resolution,I think we should establish clear communication protocols for after-hours emergencies to ensure timely response and resolution! 📞🌙🛡️ #EmergencyProtocols #AfterHours,social,I think we should establish clear communication protocols for after-hours emergencies to ensure timely response and resolution
convert to casual: This is a waste of our valuable time.,This is just a waste of time.,casual,This is a waste of our valuable time.
convert to polite: I'm completely swamped with these client reports and won't be able to join the team lunch today,I regret that I won't be able to join the team lunch today due to client report deadlines.,polite,I'm completely swamped with these client reports and won't be able to join the team lunch today
"convert to professional: Can you please be quiet, I'm trying to work.","I must request a reduction in the ambient noise level, as I am attempting to concentrate.",professional,"Can you please be quiet, I'm trying to work."
convert to polite: It's freezing cold outside.,"My goodness, it is remarkably cold outside, isn't it?",polite,It's freezing cold outside.
convert to professional: She enjoys painting landscapes in her free time.,She takes pleasure in painting landscapes during her leisure hours.,professional,She enjoys painting landscapes in her free time.
convert to polite: The internet connection is really slow today.,It seems the internet connection is quite slow today.,polite,The internet connection is really slow today.
convert to emojify: We need to book the tickets soon.,We need to book the tickets soon. 🚌💨,emojify,We need to book the tickets soon.
convert to casual: Do you want to join our book club next month?,Want to join our book club next month?,casual,Do you want to join our book club next month?
